date,year,month,day,site,survey,orientation,depth,observer,transect,common_name,sizeclass,count,fish_spp,common_family,latin_family,foodweb,a,b,biomass,density
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,squirrelfish,40,1,Holocentrus_adscensionis,squirrelfish,Holocentridae,Invertivore,0.0229,2.86,874.4340441,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,schoolmaster_snapper,30,25,Lutjanus_apodus,snapper,Lutjanidae,Macrocarnivore,0.0182,3,12285,0.416666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,rock_beauty,20,1,Holocanthus_tricolor,angelfish,Pomacanthidae,Invertivore,0.0331,2.95,227.9641114,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,bicolor_damselfish,5,15,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,0.01479,3.01,28.1811782,0.25
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,bicolor_damselfish,10,7,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,0.01479,3.01,105.9415235,0.116666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,blue_tang,10,1,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,28.8765304,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,graysby,20,1,Cephalopholis_cruentata,grouper,Serranidae,Macrocarnivore,0.011,3.11,122.3477457,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,blue_tang,20,2,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,446.2862362,0.033333333
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,blue_tang,30,2,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,1475.987594,0.033333333
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,black_jack,30,1,Caranx_lugubris,jack,Carangidae,Macrocarnivore,0.024,2.92,493.6342734,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,blueheaded_wrasse,5,3,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,3.930563825,0.05
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,princess_parrotfish_initial,5,4,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,7.760814062,0.066666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,princess_parrotfish_initial,10,9,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,142.6299347,0.15
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,yellowhead_wrasse,10,1,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,13.80384265,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,yellowhead_wrasse,20,1,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,121.6841986,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,redband_parrotfish_initial,10,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,16.52668927,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,redband_parrotfish_initial,20,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,146.7000791,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,redband_parrotfish_initial,30,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,526.1599821,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,yellow_goatfish,30,1,Mulloidichthys_martinicus,goatfish,Mullidae,Invertivore,0.012,3.1,455.2575278,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,brown_chromis,10,1,Chromis_multilineata,chromis,Pomacentridae,Planktivore,0.01479,2.99,14.4533385,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,sunshinefish,5,15,Chromis_insolata,damselfish,Pomacentridae,Planktivore,0.01259,3.03,24.77399823,0.25
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,creole_wrasse,5,30,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,40.08321421,0.5
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,creole_wrasse,20,3,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,282.6745523,0.05
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,mutton_snapper,40,1,Lutjanus_analis,snapper,Lutjanidae,Macrocarnivore,0.0151,3.03,1079.490242,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,ocean_surgeon,10,1,Acanthurus_tractus,surgeonfish,Acanthuridae,Herbivore,0.0257,2.9,20.41423563,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,black_jack,30,1,Caranx_lugubris,jack,Carangidae,Macrocarnivore,0.024,2.92,493.6342734,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,bicolor_damselfish,5,30,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,0.01479,3.01,56.36235639,0.5
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,bicolor_damselfish,10,15,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,0.01479,3.01,227.0175503,0.25
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,blue_chromis,5,30,Chromis_cyanea,chromis,Pomacentridae,Planktivore,0.01479,2.99,54.57701032,0.5
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,blue_chromis,10,26,Chromis_cyanea,chromis,Pomacentridae,Planktivore,0.01479,2.99,375.7868009,0.433333333
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,squirrelfish,20,3,Holocentrus_adscensionis,squirrelfish,Holocentridae,Invertivore,0.0229,2.86,361.328755,0.05
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,squirrelfish,30,4,Holocentrus_adscensionis,squirrelfish,Holocentridae,Invertivore,0.0229,2.86,1536.251296,0.066666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,white_margate,40,4,Haemulon_album,grunt,Haemulidae,Invertivore,0.0151,3.06,4823.258209,0.066666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,graysby,5,1,Cephalopholis_cruentata,grouper,Serranidae,Macrocarnivore,0.011,3.11,1.641305401,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,bluestriped_grunt,30,2,Haemulon_sciurus,grunt,Haemulidae,Invertivore,0.0245,2.92,1007.836642,0.033333333
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,black_durgon,30,1,Melichthys_niger,triggerfish,Balistidae,Planktivore,0.0257,2.94,565.8086886,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,sharpnose_puffer,5,1,Canthigaster_rostrata,puffer,Tetraodontidae,Omnivore,0.02818,2.94,3.198252894,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,schoolmaster_snapper,30,16,Lutjanus_apodus,snapper,Lutjanidae,Macrocarnivore,0.0182,3,7862.4,0.266666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,blue_tang,20,3,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,669.4293543,0.05
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,yellowhead_wrasse,10,1,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,13.80384265,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,yellowhead_wrasse,20,1,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,121.6841986,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,brown_chromis,10,1,Chromis_multilineata,chromis,Pomacentridae,Planktivore,0.01479,2.99,14.4533385,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,fairy_basslet,5,3,Gramma_loreto,basslet,Grammatidae,Omnivore,0.01122,3.04,4.487277469,0.05
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,blueheaded_wrasse,5,5,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,6.550939708,0.083333333
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,blueheaded_wrasse,10,1,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,10.26579731,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,barred_hamlet,10,1,Hypoplectrus_puella,seabasses,Serranidae,Invertivore,0.01778,3.03,19.05161325,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,redband_parrotfish_initial,5,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,1.861835794,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,redband_parrotfish_initial,10,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,16.52668927,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,redband_parrotfish_initial,20,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,146.7000791,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,princess_parrotfish_initial,5,1,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,1.940203515,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,princess_parrotfish_initial,10,1,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,15.84777052,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,red_hind,45,1,Epinephelus_guttatus,grouper,Serranidae,Macrocarnivore,0.0132,3.05,1455.030504,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,threespot_damselfish,5,1,Stegastes_planifrons,damselfish,Pomacentridae,Omnivore,0.02138,2.96,2.505872175,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,threespot_damselfish,10,2,Stegastes_planifrons,damselfish,Pomacentridae,Omnivore,0.02138,2.96,38.99758349,0.033333333
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,ocean_triggerfish,30,1,Canthidermis_sufflamen,triggerfish,Balistidae,Planktivore,0.0427,2.84,669.0402382,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,greenblotch_parrotfish_initial,20,1,Sparisoma_atomarium,parrotfish,Scaridae,Herbivore,0.01122,3.09,117.5372549,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,creole_wrasse,5,100,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,133.610714,1.666666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,creole_wrasse,10,50,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,561.0135825,0.833333333
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,creole_wrasse,20,50,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,4711.242538,0.833333333
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,stoplight_parrotfish_initial,30,1,Sparisoma_viride,parrotfish,Scaridae,Herbivore,0.0257,2.93,546.8880071,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,97,GGG,2,nassau_grouper,70,1,Epinephelus_striatus,grouper,Serranidae,Macrocarnivore,0.0091,3.16,6159.581398,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,squirrelfish,20,1,Holocentrus_adscensionis,squirrelfish,Holocentridae,Invertivore,0.0229,2.86,120.4429183,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,squirrelfish,30,3,Holocentrus_adscensionis,squirrelfish,Holocentridae,Invertivore,0.0229,2.86,1152.188472,0.05
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,blue_tang,20,5,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,1115.71559,0.083333333
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,bar_jack,20,1,Caranx_ruber,jack,Carangidae,Invertivore,0.0158,2.99,122.6695505,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,bicolor_damselfish,5,44,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,0.01479,3.01,82.66478938,0.733333333
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,bicolor_damselfish,10,15,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,0.01479,3.01,227.0175503,0.25
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,blue_chromis,5,35,Chromis_cyanea,chromis,Pomacentridae,Planktivore,0.01479,2.99,63.6731787,0.583333333
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,blue_chromis,10,25,Chromis_cyanea,chromis,Pomacentridae,Planktivore,0.01479,2.99,361.3334624,0.416666667
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,white_margate,30,1,Haemulon_album,grunt,Haemulidae,Invertivore,0.0151,3.06,499.9976772,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,white_margate,40,3,Haemulon_album,grunt,Haemulidae,Invertivore,0.0151,3.06,3617.443656,0.05
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,blackbar_soldierfish,20,1,Myripristis_jacobus,squirrelfish,Holocentridae,Planktivore,0.0347,2.91,211.9955585,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,yellowhead_wrasse,10,3,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,41.41152794,0.05
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,yellowhead_wrasse,20,1,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,121.6841986,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,stoplight_parrotfish_initial,10,3,Sparisoma_viride,parrotfish,Scaridae,Herbivore,0.0257,2.93,65.62274275,0.05
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,stoplight_parrotfish_initial,30,1,Sparisoma_viride,parrotfish,Scaridae,Herbivore,0.0257,2.93,546.8880071,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,redband_parrotfish_initial,5,4,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,7.447343176,0.066666667
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,redband_parrotfish_initial,10,4,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,66.10675709,0.066666667
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,princess_parrotfish_initial,5,1,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,1.940203515,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,princess_parrotfish_initial,10,1,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,15.84777052,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,black_durgon,10,2,Melichthys_niger,triggerfish,Balistidae,Planktivore,0.0257,2.94,44.76752852,0.033333333
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,black_durgon,20,4,Melichthys_niger,triggerfish,Balistidae,Planktivore,0.0257,2.94,687.1021412,0.066666667
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,blueheaded_wrasse,5,17,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,22.27319501,0.283333333
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,blueheaded_wrasse,10,3,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,30.79739193,0.05
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,blueheaded_wrasse,20,1,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,80.43624204,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,brown_chromis,5,45,Chromis_multilineata,chromis,Pomacentridae,Planktivore,0.01479,2.99,81.86551547,0.75
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,brown_chromis,10,55,Chromis_multilineata,chromis,Pomacentridae,Planktivore,0.01479,2.99,794.9336174,0.916666667
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,redband_parrotfish_initial,20,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,146.7000791,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,creole_wrasse,20,2,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,188.4497015,0.033333333
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,princess_parrotfish_terminal,30,1,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,442.2273269,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,rock_beauty,10,1,Holocanthus_tricolor,angelfish,Pomacanthidae,Invertivore,0.0331,2.95,29.50040605,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,black_jack,45,1,Caranx_lugubris,jack,Carangidae,Macrocarnivore,0.024,2.92,1612.841842,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,black_jack,50,1,Caranx_lugubris,jack,Carangidae,Macrocarnivore,0.024,2.92,2193.833452,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,100,GGG,3,smooth_trunkfish,20,1,Lactophrys_triqueter,boxfish,Ostraciidae,Invertivore,0.05012,2.77,201.3094444,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,gray_angelfish,30,1,Pomacanthus_arcuatus,angelfish,Pomacanthidae,Omnivore,0.03548,2.9,681.7658601,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,yellow_mouth_grouper,40,1,Mycteroperca_interstitialis,grouper,Serranidae,Macrocarnivore,0.0041,3.26,684.698582,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,schoolmaster_snapper,30,15,Lutjanus_apodus,snapper,Lutjanidae,Macrocarnivore,0.0182,3,7371,0.25
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,black_durgon,30,14,Melichthys_niger,triggerfish,Balistidae,Planktivore,0.0257,2.94,7921.32164,0.233333333
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,bicolor_damselfish,5,27,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,0.01479,3.01,50.72612075,0.45
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,bicolor_damselfish,10,30,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,0.01479,3.01,454.0351007,0.5
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,blue_chromis,5,46,Chromis_cyanea,chromis,Pomacentridae,Planktivore,0.01479,2.99,83.68474915,0.766666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,blue_chromis,10,40,Chromis_cyanea,chromis,Pomacentridae,Planktivore,0.01479,2.99,578.1335399,0.666666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,squirrelfish,10,1,Holocentrus_adscensionis,squirrelfish,Holocentridae,Invertivore,0.0229,2.86,16.58958349,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,squirrelfish,30,2,Holocentrus_adscensionis,squirrelfish,Holocentridae,Invertivore,0.0229,2.86,768.1256478,0.033333333
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,creole_wrasse,10,5,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,56.10135825,0.083333333
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,creole_wrasse,20,8,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,753.7988061,0.133333333
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,creole_wrasse,30,3,Clepticus_parrae,wrasse,Labridae,Omnivore,0.00955,3.07,981.4922581,0.05
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,yellowhead_wrasse,10,3,Halochoeres_garnoti,wrasse,Labridae,Invertivore,0.01,3.14,41.41152794,0.05
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,threespot_damselfish,5,3,Stegastes_planifrons,damselfish,Pomacentridae,Omnivore,0.02138,2.96,7.517616524,0.05
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,tiger_grouper,40,1,Mycteroperca_tigris,grouper,Serranidae,Macrocarnivore,0.0135,3.12,1345.119725,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,white_margate,40,2,Haemulon_album,grunt,Haemulidae,Invertivore,0.0151,3.06,2411.629104,0.033333333
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,blue_tang,5,1,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,3.73685738,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,blue_tang,10,1,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,28.8765304,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,blue_tang,20,4,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,892.5724724,0.066666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,blue_tang,30,2,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,1475.987594,0.033333333
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,redband_parrotfish_initial,5,7,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,13.03285056,0.116666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,redband_parrotfish_initial,10,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,16.52668927,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,redband_parrotfish_initial,20,3,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,440.1002374,0.05
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,stoplight_parrotfish_initial,10,1,Sparisoma_viride,parrotfish,Scaridae,Herbivore,0.0257,2.93,21.87424758,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,stoplight_parrotfish_initial,30,1,Sparisoma_viride,parrotfish,Scaridae,Herbivore,0.0257,2.93,546.8880071,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,redband_parrotfish_terminal,20,2,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,293.4001583,0.033333333
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,princess_parrotfish_terminal,20,1,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,129.446127,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,yellow_goatfish,10,1,Mulloidichthys_martinicus,goatfish,Mullidae,Invertivore,0.012,3.1,15.10710494,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,yellow_goatfish,20,2,Mulloidichthys_martinicus,goatfish,Mullidae,Invertivore,0.012,3.1,259.0623068,0.033333333
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,yellow_goatfish,30,2,Mulloidichthys_martinicus,goatfish,Mullidae,Invertivore,0.012,3.1,910.5150556,0.033333333
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,fairy_basslet,5,3,Gramma_loreto,basslet,Grammatidae,Omnivore,0.01122,3.04,4.487277469,0.05
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,yellowfin_grouper,65,1,Mycteroperca_venenosa,grouper,Epinephelinae,Macrocarnivore,0.1122,3.04,36412.4131,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,red_grouper,40,1,Epinephelus_morio,grouper,Serranidae,Macrocarnivore,0.01445,3,924.8,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,GGG,4,tiger_grouper,30,1,Mycteroperca_tigris,grouper,Serranidae,Macrocarnivore,0.0135,3.12,548.2164755,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,ADC,5,blue_tang,5,1,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,3.73685738,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,ADC,5,blue_tang,10,1,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,28.8765304,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,108,ADC,5,blue_tang,20,3,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,669.4293543,0.05
19-May-23,2023,May,19,12_Mile_Center,1,North,108,ADC,5,barred_hamlet,5,1,Hypoplectrus_puella,seabasses,Serranidae,Invertivore,0.01778,3.03,2.33244209,0.016666667
